,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
100,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2014,2014,04000US30,Montana,37,29.832867780352597,"Gardiner, MT",16000US3029950,gardiner-mt
101,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2014,2014,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
102,1,Construction (Group),2,Construction,2014,2014,04000US30,Montana,6,11.6619037896906,"Gardiner, MT",16000US3029950,gardiner-mt
103,2,Manufacturing (Group),3,Manufacturing,2014,2014,04000US30,Montana,4,12.806248474865697,"Gardiner, MT",16000US3029950,gardiner-mt
104,3,Wholesale Trade (Group),4,Wholesale Trade,2014,2014,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
105,4,Retail Trade (Group),5,Retail Trade,2014,2014,04000US30,Montana,237,194.79476378999513,"Gardiner, MT",16000US3029950,gardiner-mt
106,5,"Transportation & Warehousing, & Utilities",6,Transportation & Warehousing,2014,2014,04000US30,Montana,8,8.485281374238571,"Gardiner, MT",16000US3029950,gardiner-mt
107,5,"Transportation & Warehousing, & Utilities",7,Utilities,2014,2014,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
108,6,Information (Group),8,Information,2014,2014,04000US30,Montana,4,11.180339887498949,"Gardiner, MT",16000US3029950,gardiner-mt
109,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2014,2014,04000US30,Montana,3,11.180339887498949,"Gardiner, MT",16000US3029950,gardiner-mt
110,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2014,2014,04000US30,Montana,0,14.142135623730951,"Gardiner, MT",16000US3029950,gardiner-mt
