,ID Place of Birth,Place of Birth,ID Age,Age,ID Year,Year,Birthplace,Birthplace Moe,Geography,ID Geography,Slug Geography
107,1,Born In Other State In The United States,8,62 to 64 Years,2017,2017,18,17.0,"Gardiner, MT",16000US3029950,gardiner-mt
108,1,Born In Other State In The United States,9,65 to 74 Years,2017,2017,34,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
109,1,Born In Other State In The United States,10,75 Years & Over,2017,2017,39,27.0,"Gardiner, MT",16000US3029950,gardiner-mt
110,2,Native; Born Outside The United States,0,Under 5 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
111,2,Native; Born Outside The United States,1,5 to 17 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
112,2,Native; Born Outside The United States,2,18 to 24 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
113,2,Native; Born Outside The United States,3,25 to 34 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
114,2,Native; Born Outside The United States,4,35 to 44 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
115,2,Native; Born Outside The United States,5,45 to 54 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
116,2,Native; Born Outside The United States,6,55 to 59 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
117,2,Native; Born Outside The United States,7,60 & 61 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
118,2,Native; Born Outside The United States,8,62 to 64 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
119,2,Native; Born Outside The United States,9,65 to 74 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
120,2,Native; Born Outside The United States,10,75 Years & Over,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
121,3,Foreign Born,0,Under 5 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
122,3,Foreign Born,1,5 to 17 Years,2017,2017,6,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
123,3,Foreign Born,2,18 to 24 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
124,3,Foreign Born,3,25 to 34 Years,2017,2017,18,18.0,"Gardiner, MT",16000US3029950,gardiner-mt
125,3,Foreign Born,4,35 to 44 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
126,3,Foreign Born,5,45 to 54 Years,2017,2017,15,22.0,"Gardiner, MT",16000US3029950,gardiner-mt
127,3,Foreign Born,6,55 to 59 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
128,3,Foreign Born,7,60 & 61 Years,2017,2017,6,8.0,"Gardiner, MT",16000US3029950,gardiner-mt
129,3,Foreign Born,8,62 to 64 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
130,3,Foreign Born,9,65 to 74 Years,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
131,3,Foreign Born,10,75 Years & Over,2017,2017,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
132,0,Born In State of Residence,0,Under 5 Years,2016,2016,68,45.0,"Gardiner, MT",16000US3029950,gardiner-mt
133,0,Born In State of Residence,1,5 to 17 Years,2016,2016,139,87.0,"Gardiner, MT",16000US3029950,gardiner-mt
134,0,Born In State of Residence,2,18 to 24 Years,2016,2016,2,4.0,"Gardiner, MT",16000US3029950,gardiner-mt
135,0,Born In State of Residence,3,25 to 34 Years,2016,2016,23,20.0,"Gardiner, MT",16000US3029950,gardiner-mt
136,0,Born In State of Residence,4,35 to 44 Years,2016,2016,4,7.0,"Gardiner, MT",16000US3029950,gardiner-mt
137,0,Born In State of Residence,5,45 to 54 Years,2016,2016,58,37.0,"Gardiner, MT",16000US3029950,gardiner-mt
138,0,Born In State of Residence,6,55 to 59 Years,2016,2016,67,77.0,"Gardiner, MT",16000US3029950,gardiner-mt
139,0,Born In State of Residence,7,60 & 61 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
140,0,Born In State of Residence,8,62 to 64 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
141,0,Born In State of Residence,9,65 to 74 Years,2016,2016,8,7.0,"Gardiner, MT",16000US3029950,gardiner-mt
142,0,Born In State of Residence,10,75 Years & Over,2016,2016,6,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
143,1,Born In Other State In The United States,0,Under 5 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
144,1,Born In Other State In The United States,1,5 to 17 Years,2016,2016,59,34.0,"Gardiner, MT",16000US3029950,gardiner-mt
145,1,Born In Other State In The United States,2,18 to 24 Years,2016,2016,52,42.0,"Gardiner, MT",16000US3029950,gardiner-mt
146,1,Born In Other State In The United States,3,25 to 34 Years,2016,2016,55,34.0,"Gardiner, MT",16000US3029950,gardiner-mt
147,1,Born In Other State In The United States,4,35 to 44 Years,2016,2016,145,71.0,"Gardiner, MT",16000US3029950,gardiner-mt
148,1,Born In Other State In The United States,5,45 to 54 Years,2016,2016,147,71.0,"Gardiner, MT",16000US3029950,gardiner-mt
149,1,Born In Other State In The United States,6,55 to 59 Years,2016,2016,47,27.0,"Gardiner, MT",16000US3029950,gardiner-mt
150,1,Born In Other State In The United States,7,60 & 61 Years,2016,2016,51,35.0,"Gardiner, MT",16000US3029950,gardiner-mt
151,1,Born In Other State In The United States,8,62 to 64 Years,2016,2016,20,21.0,"Gardiner, MT",16000US3029950,gardiner-mt
152,1,Born In Other State In The United States,9,65 to 74 Years,2016,2016,36,23.0,"Gardiner, MT",16000US3029950,gardiner-mt
153,1,Born In Other State In The United States,10,75 Years & Over,2016,2016,37,24.0,"Gardiner, MT",16000US3029950,gardiner-mt
154,2,Native; Born Outside The United States,0,Under 5 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
155,2,Native; Born Outside The United States,1,5 to 17 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
156,2,Native; Born Outside The United States,2,18 to 24 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
157,2,Native; Born Outside The United States,3,25 to 34 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
158,2,Native; Born Outside The United States,4,35 to 44 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
159,2,Native; Born Outside The United States,5,45 to 54 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
160,2,Native; Born Outside The United States,6,55 to 59 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
161,2,Native; Born Outside The United States,7,60 & 61 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
162,2,Native; Born Outside The United States,8,62 to 64 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
163,2,Native; Born Outside The United States,9,65 to 74 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
164,2,Native; Born Outside The United States,10,75 Years & Over,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
165,3,Foreign Born,0,Under 5 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
166,3,Foreign Born,1,5 to 17 Years,2016,2016,7,11.0,"Gardiner, MT",16000US3029950,gardiner-mt
167,3,Foreign Born,2,18 to 24 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
168,3,Foreign Born,3,25 to 34 Years,2016,2016,14,18.0,"Gardiner, MT",16000US3029950,gardiner-mt
169,3,Foreign Born,4,35 to 44 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
170,3,Foreign Born,5,45 to 54 Years,2016,2016,4,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
171,3,Foreign Born,6,55 to 59 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
172,3,Foreign Born,7,60 & 61 Years,2016,2016,8,9.0,"Gardiner, MT",16000US3029950,gardiner-mt
173,3,Foreign Born,8,62 to 64 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
174,3,Foreign Born,9,65 to 74 Years,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
175,3,Foreign Born,10,75 Years & Over,2016,2016,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
176,0,Born In State of Residence,0,Under 5 Years,2015,2015,53,41.0,"Gardiner, MT",16000US3029950,gardiner-mt
177,0,Born In State of Residence,1,5 to 17 Years,2015,2015,136,83.0,"Gardiner, MT",16000US3029950,gardiner-mt
178,0,Born In State of Residence,2,18 to 24 Years,2015,2015,19,21.0,"Gardiner, MT",16000US3029950,gardiner-mt
179,0,Born In State of Residence,3,25 to 34 Years,2015,2015,28,26.0,"Gardiner, MT",16000US3029950,gardiner-mt
180,0,Born In State of Residence,4,35 to 44 Years,2015,2015,4,6.0,"Gardiner, MT",16000US3029950,gardiner-mt
181,0,Born In State of Residence,5,45 to 54 Years,2015,2015,71,39.0,"Gardiner, MT",16000US3029950,gardiner-mt
182,0,Born In State of Residence,6,55 to 59 Years,2015,2015,81,91.0,"Gardiner, MT",16000US3029950,gardiner-mt
183,0,Born In State of Residence,7,60 & 61 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
184,0,Born In State of Residence,8,62 to 64 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
185,0,Born In State of Residence,9,65 to 74 Years,2015,2015,3,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
186,0,Born In State of Residence,10,75 Years & Over,2015,2015,7,7.0,"Gardiner, MT",16000US3029950,gardiner-mt
187,1,Born In Other State In The United States,0,Under 5 Years,2015,2015,1,4.0,"Gardiner, MT",16000US3029950,gardiner-mt
188,1,Born In Other State In The United States,1,5 to 17 Years,2015,2015,74,41.0,"Gardiner, MT",16000US3029950,gardiner-mt
189,1,Born In Other State In The United States,2,18 to 24 Years,2015,2015,65,51.0,"Gardiner, MT",16000US3029950,gardiner-mt
190,1,Born In Other State In The United States,3,25 to 34 Years,2015,2015,37,30.000000000000004,"Gardiner, MT",16000US3029950,gardiner-mt
191,1,Born In Other State In The United States,4,35 to 44 Years,2015,2015,138,80.0,"Gardiner, MT",16000US3029950,gardiner-mt
192,1,Born In Other State In The United States,5,45 to 54 Years,2015,2015,162,72.0,"Gardiner, MT",16000US3029950,gardiner-mt
193,1,Born In Other State In The United States,6,55 to 59 Years,2015,2015,44,28.999999999999996,"Gardiner, MT",16000US3029950,gardiner-mt
194,1,Born In Other State In The United States,7,60 & 61 Years,2015,2015,42,33.0,"Gardiner, MT",16000US3029950,gardiner-mt
195,1,Born In Other State In The United States,8,62 to 64 Years,2015,2015,23,19.0,"Gardiner, MT",16000US3029950,gardiner-mt
196,1,Born In Other State In The United States,9,65 to 74 Years,2015,2015,34,23.0,"Gardiner, MT",16000US3029950,gardiner-mt
197,1,Born In Other State In The United States,10,75 Years & Over,2015,2015,45,28.0,"Gardiner, MT",16000US3029950,gardiner-mt
198,2,Native; Born Outside The United States,0,Under 5 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
199,2,Native; Born Outside The United States,1,5 to 17 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
200,2,Native; Born Outside The United States,2,18 to 24 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
201,2,Native; Born Outside The United States,3,25 to 34 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
202,2,Native; Born Outside The United States,4,35 to 44 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
203,2,Native; Born Outside The United States,5,45 to 54 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
204,2,Native; Born Outside The United States,6,55 to 59 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
205,2,Native; Born Outside The United States,7,60 & 61 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
206,2,Native; Born Outside The United States,8,62 to 64 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
207,2,Native; Born Outside The United States,9,65 to 74 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
208,2,Native; Born Outside The United States,10,75 Years & Over,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
209,3,Foreign Born,0,Under 5 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
210,3,Foreign Born,1,5 to 17 Years,2015,2015,12,18.0,"Gardiner, MT",16000US3029950,gardiner-mt
211,3,Foreign Born,2,18 to 24 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
212,3,Foreign Born,3,25 to 34 Years,2015,2015,10,17.0,"Gardiner, MT",16000US3029950,gardiner-mt
213,3,Foreign Born,4,35 to 44 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
214,3,Foreign Born,5,45 to 54 Years,2015,2015,4,5.0,"Gardiner, MT",16000US3029950,gardiner-mt
215,3,Foreign Born,6,55 to 59 Years,2015,2015,6,8.0,"Gardiner, MT",16000US3029950,gardiner-mt
216,3,Foreign Born,7,60 & 61 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
217,3,Foreign Born,8,62 to 64 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
218,3,Foreign Born,9,65 to 74 Years,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
219,3,Foreign Born,10,75 Years & Over,2015,2015,0,10.0,"Gardiner, MT",16000US3029950,gardiner-mt
220,0,Born In State of Residence,0,Under 5 Years,2014,2014,60,52.0,"Gardiner, MT",16000US3029950,gardiner-mt
221,0,Born In State of Residence,1,5 to 17 Years,2014,2014,180,79.0,"Gardiner, MT",16000US3029950,gardiner-mt
