,ID Group,Group,ID Industry,Industry,ID Year,Year,ID State,State,Workforce by Industry and Gender,Workforce by Industry and Gender Moe,Geography,ID Geography,Slug Geography
109,7,"Finance & Insurance, & Real Estate & Rental & Leasing",9,Finance & Insurance,2014,2014,04000US30,Montana,10,19.72308292331602,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
110,7,"Finance & Insurance, & Real Estate & Rental & Leasing",10,Real Estate & Rental & Leasing,2014,2014,04000US30,Montana,15,21.470910553583888,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
111,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",11,"Professional, Scientific, & Technical Services",2014,2014,04000US30,Montana,9,17.204650534085253,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
112,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",12,Management of Companies & Enterprises,2014,2014,04000US30,Montana,0,14.142135623730951,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
113,8,"Professional, Scientific, & Management, & Administrative & Waste Management Services",13,Administrative & Support & Waste Management Services,2014,2014,04000US30,Montana,42,29.832867780352593,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
114,9,"Educational Services, & Health Care & Social Assistance",14,Educational Services,2014,2014,04000US30,Montana,20,20.518284528683193,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
115,9,"Educational Services, & Health Care & Social Assistance",15,Health Care & Social Assistance,2014,2014,04000US30,Montana,24,22.561028345356956,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
116,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",16,"Arts, Entertainment, & Recreation",2014,2014,04000US30,Montana,44,33.421549934136806,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
117,10,"Arts, Entertainment, & Recreation, & Accommodation & Food Services",17,Accommodation & Food Services,2014,2014,04000US30,Montana,269,100.16985574512924,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
118,11,"Other Services, Except Public Administration (Group)",18,"Other Services, Except Public Administration",2014,2014,04000US30,Montana,27,25.238858928247925,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
119,12,Public Administration (Group),19,Public Administration,2014,2014,04000US30,Montana,25,21.260291625469296,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
120,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",0,"Agriculture, Forestry, Fishing & Hunting",2013,2013,04000US30,Montana,108,192.93781381574738,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
121,0,"Agriculture, Forestry, Fishing & Hunting, & Mining",1,"Mining, Quarrying, & Oil & Gas Extraction",2013,2013,04000US30,Montana,3,11.180339887498949,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
122,1,Construction (Group),2,Construction,2013,2013,04000US30,Montana,59,46.09772228646443,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
123,2,Manufacturing (Group),3,Manufacturing,2013,2013,04000US30,Montana,22,34.48187929913333,"West Yellowstone, MT",16000US3079525,west-yellowstone-mt
